failure_type,retriever,strategy,recall@10,mrr,reward,num_records
unlabeled,bm25,expanded,0.9497053045186641,0.8325136433093211,0.7613059375682165,2545
unlabeled,bm25,keyword,0.9414538310412573,0.8192461097077992,1.0881888701780646,2545
unlabeled,bm25,original,0.9485265225933203,0.8332151432937287,1.0238374341223064,2545
unlabeled,bm25,prompt,0.9300589390962672,0.8122610471824618,0.694951741665887,2545
unlabeled,bm25,structured,0.9029469548133595,0.7826273115664079,0.6313725948794711,2545
unlabeled,dense,expanded,0.06483300589390963,0.01478513736863442,-0.5324306140268813,2545
unlabeled,dense,keyword,0.16345776031434184,0.06037328094302554,-0.06924361493123775,2545
unlabeled,dense,original,0.00550098231827112,0.0026326129666011788,-0.3344793713163065,2545
unlabeled,dense,prompt,0.060903732809430254,0.017416035176349518,-0.571625970624006,2545
unlabeled,dense,structured,0.05225933202357564,0.017185112420868807,-0.6020361274830823,2545
unlabeled,hybrid,expanded,0.8856581532416503,0.6938862381887922,0.6279450837309383,2545
unlabeled,hybrid,keyword,0.8793713163064834,0.6925321982099979,0.9627493996943898,2545
unlabeled,hybrid,original,0.8856581532416503,0.670524526772071,0.8796237565098076,2545
unlabeled,hybrid,prompt,0.8644400785854617,0.6898800948015094,0.5681424049646053,2545
unlabeled,hybrid,structured,0.8373280943025541,0.671841456949512,0.5103608070602176,2545
