bm25_weight,dense_backend,dense_weight,hybrid_alpha,model_name,mrr,num_questions,recall@1,recall@10,recall@5,retriever
0.0,lexical,1.0,0.0,intfloat/multilingual-e5-base,0.39865509591436143,5774,0.33010045029442325,0.5616556979563561,0.4892622099064773,hybrid
0.1,lexical,0.9,0.1,intfloat/multilingual-e5-base,0.47024139409833954,5774,0.4108070661586422,0.5616556979563561,0.5559404225839972,hybrid
0.2,lexical,0.8,0.2,intfloat/multilingual-e5-base,0.5301915813086582,5774,0.5034638032559751,0.5616556979563561,0.5604433668167648,hybrid
0.3,lexical,0.7,0.3,intfloat/multilingual-e5-base,0.548985600475036,5774,0.5386214063041219,0.5616556979563561,0.5607897471423623,hybrid
0.4,lexical,0.6,0.4,intfloat/multilingual-e5-base,0.5592383893864673,5774,0.5431243505368895,0.6129199861447869,0.570142015933495,hybrid
0.5,lexical,0.5,0.5,intfloat/multilingual-e5-base,0.8466374992440105,5774,0.781260824385175,0.9496016626255629,0.9308971250432976,hybrid
0.6,lexical,0.4,0.6,intfloat/multilingual-e5-base,0.8830679812624725,5774,0.8245583650848631,0.9717700034638033,0.9556633183235193,hybrid
0.7,lexical,0.30000000000000004,0.7,intfloat/multilingual-e5-base,0.9019096964498748,5774,0.8545202632490475,0.9771388985105646,0.9632836854866643,hybrid
0.8,lexical,0.19999999999999996,0.8,intfloat/multilingual-e5-base,0.9077158279314479,5774,0.8640457222029788,0.9774852788361621,0.9639764461378594,hybrid
0.9,lexical,0.09999999999999998,0.9,intfloat/multilingual-e5-base,0.9082760156365958,5774,0.8650848631797714,0.9774852788361621,0.9636300658122618,hybrid
1.0,lexical,0.0,1.0,intfloat/multilingual-e5-base,0.905538923801825,5774,0.8616210599237963,0.9773120886733634,0.9620713543470731,hybrid
