retriever,strategy,hard_case_type,total_hard_cases,recovered_at_10,recovery@10
bm25,original,BM25-hard,1,0,0.0
bm25,keyword,BM25-hard,1,0,0.0
bm25,expanded,BM25-hard,1,0,0.0
bm25,prompt,BM25-hard,1,0,0.0
bm25,structured,BM25-hard,1,0,0.0
dense,original,DENSE-hard,0,0,0.0
dense,keyword,DENSE-hard,0,0,0.0
dense,expanded,DENSE-hard,0,0,0.0
dense,prompt,DENSE-hard,0,0,0.0
dense,structured,DENSE-hard,0,0,0.0
hybrid,original,HYBRID-hard,0,0,0.0
hybrid,keyword,HYBRID-hard,0,0,0.0
hybrid,expanded,HYBRID-hard,0,0,0.0
hybrid,prompt,HYBRID-hard,0,0,0.0
hybrid,structured,HYBRID-hard,0,0,0.0
bm25,original,All-retriever-hard,0,0,0.0
bm25,keyword,All-retriever-hard,0,0,0.0
bm25,expanded,All-retriever-hard,0,0,0.0
bm25,prompt,All-retriever-hard,0,0,0.0
bm25,structured,All-retriever-hard,0,0,0.0
dense,original,All-retriever-hard,0,0,0.0
dense,keyword,All-retriever-hard,0,0,0.0
dense,expanded,All-retriever-hard,0,0,0.0
dense,prompt,All-retriever-hard,0,0,0.0
dense,structured,All-retriever-hard,0,0,0.0
hybrid,original,All-retriever-hard,0,0,0.0
hybrid,keyword,All-retriever-hard,0,0,0.0
hybrid,expanded,All-retriever-hard,0,0,0.0
hybrid,prompt,All-retriever-hard,0,0,0.0
hybrid,structured,All-retriever-hard,0,0,0.0
