retriever,strategy,recall@1,recall@5,recall@10,mrr,avg_reward,num_records
bm25,expanded,0.7333333333333333,0.9666666666666667,0.9666666666666667,0.8038888888888889,0.9417867063492064,30
bm25,keyword,0.6333333333333333,0.7333333333333333,0.8333333333333334,0.6875925925925926,0.7296296296296296,30
bm25,original,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.8316666666666667,0.9666666666666667,30
bm25,prompt,0.6333333333333333,0.7333333333333333,0.8333333333333334,0.6875925925925926,0.7296296296296296,30
bm25,structured,0.6,0.7333333333333333,0.8,0.6675925925925926,0.6925072751322752,30
dense,expanded,0.8666666666666667,1.0,1.0,0.9333333333333333,0.9806755952380952,30
dense,keyword,0.9,1.0,1.0,0.95,1.0018518518518518,30
dense,original,0.9,1.0,1.0,0.9444444444444444,1.0,30
dense,prompt,0.9,1.0,1.0,0.95,1.0018518518518518,30
dense,structured,0.9,1.0,1.0,0.95,0.9999146825396825,30
hybrid,expanded,0.9,0.9666666666666667,1.0,0.937037037037037,0.9825274470899471,30
hybrid,keyword,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185185,30
hybrid,original,0.9,0.9666666666666667,1.0,0.9366666666666666,1.0,30
hybrid,prompt,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185185,30
hybrid,structured,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.7611904761904762,0.90732208994709,30
